method,level,step,q
Analog-Prob,0.05,1,469.17721214955714
Analog-Prob,0.05,2,470.58588722556084
Analog-Prob,0.05,3,456.3897940538016
Analog-Prob,0.05,4,451.65473494653736
Analog-Prob,0.05,5,443.46431079219434
Analog-Prob,0.05,6,444.34868316874565
Analog-Prob,0.05,7,439.6639852036586
Analog-Prob,0.05,8,442.01359338204554
Analog-Prob,0.05,9,426.7721692487936
Analog-Prob,0.05,10,412.401548520909
Analog-Prob,0.05,11,413.032134476521
Analog-Prob,0.05,12,436.1142785663118
Analog-Prob,0.05,13,441.81451152100794
Analog-Prob,0.05,14,441.6729653591768
Analog-Prob,0.05,15,442.95065145451315
Analog-Prob,0.05,16,454.09357671074065
Analog-Prob,0.05,17,475.2651830276925
Analog-Prob,0.05,18,473.6000764582798
Analog-Prob,0.05,19,493.684062068299
Analog-Prob,0.05,20,510.055506776078
Analog-Prob,0.05,21,529.6252697442575
Analog-Prob,0.05,22,493.5979471629547
Analog-Prob,0.05,23,502.73096357788637
Analog-Prob,0.05,24,493.13354387057325
Analog-Prob,0.1,1,480.73618543237194
Analog-Prob,0.1,2,473.75906377004435
Analog-Prob,0.1,3,469.0015379078647
Analog-Prob,0.1,4,463.6368820300011
Analog-Prob,0.1,5,459.90192598578074
Analog-Prob,0.1,6,444.91122767069226
Analog-Prob,0.1,7,443.66157457240354
Analog-Prob,0.1,8,443.6769210172771
Analog-Prob,0.1,9,440.3163392581058
Analog-Prob,0.1,10,424.778409612937
Analog-Prob,0.1,11,427.45649285704377
Analog-Prob,0.1,12,439.19008046307124
Analog-Prob,0.1,13,452.81400451136943
Analog-Prob,0.1,14,455.57982097180525
Analog-Prob,0.1,15,465.7834319121567
Analog-Prob,0.1,16,469.4107008039725
Analog-Prob,0.1,17,479.7311823036512
Analog-Prob,0.1,18,491.5554844986744
Analog-Prob,0.1,19,497.9673403427308
Analog-Prob,0.1,20,536.2590043095281
Analog-Prob,0.1,21,548.3330298770576
Analog-Prob,0.1,22,506.0070013377907
Analog-Prob,0.1,23,512.5996230280688
Analog-Prob,0.1,24,495.10579629115034
Analog-Prob,0.15,1,485.7746004083563
Analog-Prob,0.15,2,477.1554186693908
Analog-Prob,0.15,3,472.76907686507036
Analog-Prob,0.15,4,470.8894157434979
Analog-Prob,0.15,5,461.17368713211107
Analog-Prob,0.15,6,458.1581535802034
Analog-Prob,0.15,7,449.9177528894081
Analog-Prob,0.15,8,454.3350484949413
Analog-Prob,0.15,9,446.67218962071905
Analog-Prob,0.15,10,438.1645303461616
Analog-Prob,0.15,11,439.644181813025
Analog-Prob,0.15,12,452.82877089081717
Analog-Prob,0.15,13,460.9397613316229
Analog-Prob,0.15,14,462.7123118352225
Analog-Prob,0.15,15,480.3845620232532
Analog-Prob,0.15,16,486.90317485549554
Analog-Prob,0.15,17,491.14339211439307
Analog-Prob,0.15,18,493.8310456489103
Analog-Prob,0.15,19,511.17211017041166
Analog-Prob,0.15,20,551.3606826546103
Analog-Prob,0.15,21,572.0557531749662
Analog-Prob,0.15,22,520.7315302876099
Analog-Prob,0.15,23,522.8527534024762
Analog-Prob,0.15,24,502.71110526318535
Analog-Prob,0.2,1,490.2071140698736
Analog-Prob,0.2,2,483.00522774176954
Analog-Prob,0.2,3,477.9871823526576
Analog-Prob,0.2,4,474.32163385572005
Analog-Prob,0.2,5,468.4273699034663
Analog-Prob,0.2,6,465.4974110222019
Analog-Prob,0.2,7,461.07247912959406
Analog-Prob,0.2,8,460.1254210464007
Analog-Prob,0.2,9,458.1956101607221
Analog-Prob,0.2,10,446.430164351783
Analog-Prob,0.2,11,451.4489754476797
Analog-Prob,0.2,12,459.12728820559926
Analog-Prob,0.2,13,466.9100630038365
Analog-Prob,0.2,14,466.1659152016807
Analog-Prob,0.2,15,484.1972682607708
Analog-Prob,0.2,16,490.74042837765205
Analog-Prob,0.2,17,495.2068343212112
Analog-Prob,0.2,18,509.6401860416806
Analog-Prob,0.2,19,530.5758636206274
Analog-Prob,0.2,20,555.584665523641
Analog-Prob,0.2,21,627.9338508992055
Analog-Prob,0.2,22,542.0580514152113
